parent_sctid,parent_sctid_2,parent_sctid_3,concept_sctid,fsn,pref_term,kp_clinician_display_name,icd9-CM,icd10-CM,kp_patient_display_name
,,,56925008,Abnormal sexual function (finding),Abnormal sexual function,Sexual dysfunction,302.70,R37,Sexual dysfunction
169255008,,,15633921000119109,Abnormal ultrasound of abdomen (finding),Abnormal ultrasound of abdomen,Abnl abdominal ultrasound,793.6,R93.5,Abnormal abdominal ultrasound
169255008,,,15634001000119103,Abnormal ultrasound of brain (finding),Abnormal ultrasound of brain,Abnl brain ultrasound,793.0,R90.89,Abnormal brain ultrasound
169255008,,,15633961000119104,Abnormal ultrasound of breast (finding),Abnormal ultrasound of breast,Abnl breast ultrasound,793.89,R92.8,Abnormal breast ultrasound
169255008,,,15633881000119102,Abnormal ultrasound of liver (finding),Abnormal ultrasound of liver,Abnl liver ultrasound,793.6,R93.2,Abnormal liver ultrasound
169255008,,,15634041000119101,Abnormal ultrasound of urinary bladder (finding),Abnormal ultrasound of urinary bladder,Abnl bladder ultrasound,793.5,R93.4,Abnormal bladder ultrasound
,,,167222005,Abnormal urinalysis (finding),Abnormal urinalysis,Abnl urinalysis finding,791.9,R82.90,Abnormal finding on urinalysis
12337004,,,44991000119100,Abnormal uterine bleeding (disorder),Abnormal uterine bleeding,Abnl uterine bleeding,626.6,N93.9,"Bleeding/spotting, uterine, abnormal"
,,,301822002,Abnormal vaginal bleeding (finding),Abnormal vaginal bleeding,Abnl vaginal bleeding,623.8,N93.9,Abnormal vaginal bleeding
,,,439856008,Abnormal vaginal Papanicolaou smear (finding),Abnormal vaginal Papanicolaou smear,Abnl vaginal Pap,795.10,R87.629,Abnormal vaginal Pap
,,,161833006,Abnormal weight gain (finding),Abnormal weight gain,Abnl increased body weight,783.1,R63.5,Abnormal weight gain
,,,267024001,Abnormal weight loss (finding),Abnormal weight loss,Abnl weight loss,783.21,R63.4,Abnormal loss of weight
,,,341009,ABO incompatibility reaction (disorder),ABO incompatibility reaction,Abo incompatibility reaction,999.60,T80.30XA,Abo incompatibility reaction
,,,399963005,Abrasion (disorder),Abrasion,Abrasion,919.0,T14.8,Abrasion (scrape)
,,,128477000,Abscess (disorder),Abscess,Abscess,682.9,L02.91,Abscess
,,,31928004,Abscess of skin AND/OR subcutaneous tissue (disorder),Abscess of skin AND/OR subcutaneous tissue,Skin or subcutaneous tissue abscess,682.9,L02.91,Abscess skin or subcutaneous tissue
,,,105419003,Academic underachievement (finding),Academic underachievement,Underachievement in school,V62.3,Z55.3,Underachievement in school
,,,192123006,Academic underachievement disorder (disorder),Academic underachievement disorder,Academic underachievement disorder,313.83,Z55.3,Academic underachievement disorder
,,,402599005,Acanthosis nigricans (disorder),Acanthosis nigricans,Acanthosis nigricans,701.2,L83,Acanthosis nigricans
,,,204245004,Accessory tragus (disorder),Accessory tragus,Preauricular skin tag,744.1,Q17.0,Preauricular skin tag
55566008,,,85151000119101,Accident due to mechanical fall without injury (event),Accident due to mechanical fall without injury,"Cause of accident, mechanical fall wo injury",E888.8,W19.XXXA,"Cause of accident, mechanical fall wo injury"
,,,217082002,Accidental fall (event),Accidental fall,"Cause of injury, accidental fall",E888.9,W19.XXXA,"Cause of injury, accidental fall"
,,,11381005,Acne (disorder),Acne,Acne,706.1,L70.9,Acne
,,,88616000,Acne vulgaris (disorder),Acne vulgaris,Acne vulgaris,706.1,L70.0,Acne vulgaris
,,,126949007,Acoustic neuroma (disorder),Acoustic neuroma,Acoustic neuroma,225.1,D33.3,Acoustic neuroma
,,,72129000,Acquired acanthosis nigricans (disorder),Acquired acanthosis nigricans,Acquired acanthosis nigricans,701.2,L83,"Acanthosis nigricans, acquired"
122481008,,,15632211000119104,Acquired bilateral hammer toes (disorder),Acquired bilateral hammer toes,Acquired bilat hammer toes,735.4,M20.41/M20.42,Acquired bilateral hammer toe
105999006,,,98371000119102,Acquired complex renal cyst (disorder),Acquired complex renal cyst,Acquired complex renal cyst,593.2,N28.1,Complex cyst of kidney acquired
,,,18283000,Acquired deformity of nose (disorder),Acquired deformity of nose,Acquired nasal deformity,738.0,M95.0,Acquired nasal deformity
122480009,,,11874581000119108,Acquired hallux valgus of bilateral big toe (disorder),Acquired hallux valgus of bilateral big toe,Acquired bilat hallux valgus,735.0,M20.11/M20.12,Acquired bilateral hallux valgus
65358001,,,298991000119109,Acquired hallux valgus of left big toe (disorder),Acquired hallux valgus of left big toe,Acquired left hallux valgus,735.0,M20.12,Acquired left hallux valgus
65358001,,,299001000119109,Acquired hallux valgus of right big toe (disorder),Acquired hallux valgus of right big toe,Acquired right hallux valgus,735.0,M20.11,Acquired right hallux valgus
,,,111566002,Acquired hypothyroidism (disorder),Acquired hypothyroidism,Acquired hypothyroidism,244.9,E03.9,"Hypothyroidism (low thyroid), acquired"
,,,62479008,Acquired immune deficiency syndrome (AIDS) (disorder),AIDS,AIDS (acquired immune deficiency syndrome),042,B20,AIDS
5132005,,,1151000119104,Acquired keratosis pilaris (disorder),Acquired keratosis pilaris,Acquired keratosis pilaris,701.1,L85.8,"Keratosis, pilaris, acquired"
,,,425434004,Acquired labial adhesion (finding),Acquired labial adhesion,Acquired labial adhesion,624.8,N90.89,"Labial adhesion, acquired"
122481008,,,1075121000119103,Acquired left hammer toe (disorder),Acquired left hammer toe,Acquired left hammer toe,735.4,M20.42,Acquired left hammer toe
33958003,,,1051000119103,Acquired penile adhesion (disorder),Acquired penile adhesion,Acquired penile adhesion,607.9,N48.9,"Penile adhesion, acquired"
53226007,,,11874301000119109,Acquired pes planus of bilateral foot (disorder),Acquired pes planus of bilateral foot,Acquired bilat flat foot,734,M21.41/M20.42,Acquired bilateral flat foot
53226007,,,308101000119108,Acquired pes planus of left foot (disorder),Acquired pes planus of left foot,Acquired left flat foot,734,M21.42,Acquired left flat foot
53226007,,,308111000119106,Acquired pes planus of right foot (disorder),Acquired pes planus of right foot,Acquired right flat foot,734,M21.41,Acquired right flat foot
,,,105999006,Acquired renal cystic disease (disorder),Acquired renal cystic disease,Acquired renal cyst,593.2,N28.1,"Renal cystic disease, acquired"
122481008,,,1075111000119105,Acquired right hammer toe (disorder),Acquired right hammer toe,Acquired right hammer toe,735.4,M20.41,Acquired right hammer toe
,,,203681002,Acquired spondylolisthesis (disorder),Acquired spondylolisthesis,Acquired spondylolisthesis,738.4,M43.10,Acquired spondylolisthesis
,,,74576004,Acquired thrombocytopenia (disorder),Acquired thrombocytopenia,Acquired thrombocytopenia,287.5,D69.6,Thrombocytopenia (low blood platelets)
,,,68701004,Acquired unequal leg length (finding),Acquired unequal leg length,Acquired inequality of leg length,736.81,M21.70,Acquired inequality of leg length
,,,201101007,Actinic keratosis (disorder),Actinic keratosis,Actinic keratosis,702.0,L57.0,Actinic keratosis
,,,85189001,Acute appendicitis (disorder),Acute appendicitis,Acute appendicitis,540.9,K35.80,Acute appendicitis
,,,28845006,Acute appendicitis with generalized peritonitis (disorder),Acute appendicitis with generalized peritonitis,Acute appendicitis w generalized peritonitis,540.0,K35.2,"Appendicitis, generalized peritonitis (infection)"
,,,10509002,Acute bronchitis (disorder),Acute bronchitis,Acute bronchitis,466.0,J20.9,Acute bronchitis
,,,65275009,Acute cholecystitis (disorder),Acute cholecystitis,Acute cholecystitis,575.0,K81.0,Acute cholecystitis (inflamed gallbladder)
,,,10633002,Acute congestive heart failure (disorder),Acute congestive heart failure,Acute CHF,428.0,I50.9,Acute congestive heart failure (CHF)
,,,394659003,Acute coronary syndrome (disorder),Acute coronary syndrome,Acute coronary syndrome,411.1,I24.9,Acute coronary syndrome
199205008,,,521000119104,Acute cystitis in pregnancy (disorder),Acute cystitis in pregnancy,Acute cystitis in pregnancy,646.63/595.0,O23.10,"Acute cystitis (bladder infection) in pregnancy, before birth"
651000119108,,,12237551000119104,Acute deep vein thrombosis of bilateral calves (disorder),Acute deep vein thrombosis of bilateral calves,Acute DVT of bilat calves,453.42,I82.4Z3,Acute deep venous thrombosis (DVT) of both calves
651000119108,,,12237631000119109,Acute deep vein thrombosis of left calf (disorder),Acute deep vein thrombosis of left calf,Acute DVT of left calf,453.42,I82.4Z2,Acute deep venous thrombosis (DVT) of left calf
651000119108,,,12237711000119106,Acute deep vein thrombosis of right calf (disorder),Acute deep vein thrombosis of right calf,Acute DVT of right calf,453.42,I82.4Z1,Acute deep venous thrombosis (DVT) of right calf
128053003,,,132281000119108,Acute deep venous thrombosis (disorder),Acute deep venous thrombosis,Acute DVT,453.40,I82.409,Acute deep venous thrombosis (DVT)
404223003,,,350301000119104,Acute deep venous thrombosis (DVT) of left leg (disorder),Acute deep venous thrombosis of left leg,Acute DVT of left leg,453.40,I82.402,Acute deep venous thrombosis (DVT) of left leg
404223003,,,350311000119101,Acute deep venous thrombosis (DVT) of right leg (disorder),Acute deep venous thrombosis of right leg,Acute DVT of right leg,453.40,I82.401,Acute deep venous thrombosis (DVT) of right leg
,,,443343001,Acute diastolic heart failure (disorder),Acute diastolic heart failure,"Diastolic heart failure, acute",428.31,I50.31,"Diastolic heart failure, acute"
,,,195951007,Acute exacerbation of chronic obstructive airways disease (disorder),Acute exacerbation of chronic obstructive airways disease,Acute exacerbation of COPD,491.21,J44.1,"Chronic obstructive pulmonary disease, acute flare-up"
195951007,,,1751000119100,Acute exacerbation of chronic obstructive airways disease with asthma (disorder),Acute exacerbation of chronic obstructive airways disease with asthma,Acute exacerbation of asthma w COPD,493.22,J44.1,"Asthma flare, chronic obstructive pulmonary disease"
427354000,,,135181000119109,Acute exacerbation of mild persistent asthma (disorder),Acute exacerbation of mild persistent asthma,Mild persistent asthma w acute exacerbation,493.92,J45.31,"Asthma, persistent, mild with acute exacerbation"
,,,69776003,Acute gastroenteritis (disorder),Acute gastroenteritis,Acute gastroenteritis,558.9,K52.9,Acute gastroenteritis
15993004,,,10679551000119102,Acute hypercapnic respiratory failure (disorder),Acute hypercapnic respiratory failure,Acute hypercapnic respiratory failure,518.81,J96.02,Acute hypercapnic respiratory failure
65710008,,,10676791000119107,Acute hypoxemic respiratory failure (disorder),Acute hypoxemic respiratory failure,Acute hypoxemic respiratory failure,518.81,J96.01,Acute hypoxemic respiratory failure
,,,91861009,"Acute myeloid leukemia, disease (disorder)","Acute myeloid leukemia, disease",Acute myeloid leukemia,205.00,C92.50,"Leukemia, acute myeloid"
,,,57054005,Acute myocardial infarction (disorder),Acute myocardial infarction,Acute MI,410.90,I21.3,Acute heart attack
,,,401314000,Acute non-ST segment elevation myocardial infarction (disorder),Acute non-ST segment elevation myocardial infarction,Acute non ST elevation MI,410.70,I21.4,Heart attack
40095003,,,140031000119103,Acute nontraumatic kidney injury (disorder),Acute nontraumatic kidney injury,Nontraumatic acute kidney injury,584.9,N17.9,"Injury kidney, nontraumatic, acute"
42343007,,,285241000119103,Acute on chronic congestive heart failure (disorder),Acute on chronic congestive heart failure,Acute on chronic CHF,428.0,I50.9,"Congestive heart failure (CHF), chronic with acute flare up"
,,,443344007,Acute on chronic diastolic heart failure (disorder),Acute on chronic diastolic heart failure,"Diastolic heart failure, acute on chronic",428.33,I50.33,"Diastolic heart failure, acute on chronic"
67905004,,,10672271000119100,Acute on chronic hypoxemic respiratory failure (disorder),Acute on chronic hypoxemic respiratory failure,Acute on chronic hypoxemic respiratory failure,518.84,J96.21,Acute on chronic hypoxemic respiratory failure
,,,443253003,Acute on chronic systolic heart failure (disorder),Acute on chronic systolic heart failure,"Systolic heart failure, acute on chronic",428.23,I50.23,"Systolic heart failure, acute on chronic"
,,,197456007,Acute pancreatitis (disorder),Acute pancreatitis,Acute pancreatitis,577.0,K85.9,Acute pancreatitis (pancreas inflammation)
,,,267530009,Acute posthemorrhagic anemia (disorder),Acute posthemorrhagic anemia,Acute posthemorrhagic anemia,285.1,D62,"Anemia, posthemorrhagic, acute"
,,,40541001,Acute pulmonary edema (disorder),Acute pulmonary edema,Acute pulmonary edema,518.4,J81.0,"Pulmonary edema (fluid in lungs), acute"
,,,36689008,Acute pyelonephritis (disorder),Acute pyelonephritis,Acute pyelonephritis,590.10,N10,Acute pyelonephritis (kidney infection)
,,,373895009,Acute respiratory distress (finding),Acute respiratory distress,Acute respiratory distress,518.82,J80,"Respiratory distress, acute"
,,,65710008,Acute respiratory failure (disorder),Acute respiratory failure,Acute respiratory failure,518.81,J96.00,Acute respiratory failure
,,,194289001,Acute right otitis media (disorder),Acute right otitis media,Right acute otitis media,382.9,H66.91,Right acute otitis media
,,,15805002,Acute sinusitis (disorder),Acute sinusitis,Acute sinusitis,461.9,J01.90,Acute sinusitis
,,,401303003,Acute ST segment elevation myocardial infarction (disorder),Acute ST segment elevation myocardial infarction,Acute ST elevation MI,410.90,I21.3,Acute heart attack
,,,67195008,Acute stress disorder (disorder),Acute stress disorder,Acute stress disorder,308.3,F43.0,Acute stress disorder
,,,54398005,Acute upper respiratory infection (disorder),Acute upper respiratory infection,Acute URI,465.9,J06.9,Acute upper respiratory infection
,,,431309003,Acute urinary tract infection (disorder),Acute urinary tract infection,Acute UTI,599.0,N39.0,"Urinary tract infection, acute"
,,,236433006,Acute-on-chronic renal failure (disorder),Acute-on-chronic renal failure,Acute on chronic renal failure,584.9/585.9,N17.9/N18.9,Acute with chronic renal failure
,,,67905004,Acute-on-chronic respiratory failure (disorder),Acute-on-chronic respiratory failure,Acute on chronic respiratory failure,518.84,J96.20,"Respiratory failure, acute on chronic"
,,,123845008,Adenocarcinoma of endometrium (disorder),Adenocarcinoma of endometrium,"Adenocarcinoma, endometrium",182.0,C54.1,"Cancer of the endometrium, adenocarcinoma"
,,,399490008,Adenocarcinoma of prostate (disorder),Adenocarcinoma of prostate,"Adenocarcinoma, prostate",185,C61,"Cancer of the prostate, adenocarcinoma"
,,,428054006,Adenomatous polyp of colon (disorder),Adenomatous polyp of colon,"Adenomatous polyp, colon",211.3,D12.6,"Polyp colon, adenomatous"
,,,35602005,Adherent prepuce (disorder),Adherent prepuce,Adherent prepuce,605,N47.5,Adherent prepuce
399114005,,,15635961000119100,Adhesive capsulitis of bilateral shoulders (disorder),Adhesive capsulitis of bilateral shoulders,Adhesive capsulitis of bilat shoulders,726.0,M75.01/M75.02,Adhesive capsulitis of both shoulders
399114005,,,301981000119107,Adhesive capsulitis of left shoulder (disorder),Adhesive capsulitis of left shoulder,Adhesive capsulitis of left shoulder,726.0,M75.02,Adhesive capsulitis of left shoulder
399114005,,,301971000119109,Adhesive capsulitis of right shoulder (disorder),Adhesive capsulitis of right shoulder,Adhesive capsulitis of right shoulder,726.0,M75.01,Adhesive capsulitis of right shoulder
,,,17226007,Adjustment disorder (disorder),Adjustment disorder,Adjustment disorder,309.9,F43.20,Adjustment disorder
,,,47372000,Adjustment disorder with anxious mood (disorder),Adjustment disorder with anxious mood,Adjustment disorder w anxiety,309.24,F43.22,Adjustment disorder w anxiety
,,,57194009,Adjustment disorder with depressed mood (disorder),Adjustment disorder with depressed mood,Adjustment disorder w depressed mood,309.0,F43.21,Adjustment disorder w depressed mood
55668003,,,7421000119105,Adjustment disorder with mixed anxiety and depressed mood (disorder),Adjustment disorder with mixed anxiety and depressed mood,Adjustment disorder w mixed anxiety and depressed mood,309.28,F43.23,Adjustment disorder w mixed anxiety and depressed mood
,,,66381006,Adjustment disorder with mixed disturbance of emotions AND conduct (disorder),Adjustment disorder with mixed disturbance of emotions AND conduct,Adjustment disorder w mixed disturbance of emotion and conduct,309.4,F43.25,Adjustment disorder w mixed disturbance of emotion and conduct
,,,55668003,Adjustment disorder with mixed emotional features (disorder),Adjustment disorder with mixed emotional features,Adjustment disorder w mixed emotional features,309.28,F43.23,Adjustment disorder w mixed emotional features
,,,386584007,Adrenal cortical hypofunction (disorder),Adrenal cortical hypofunction,Adrenal insufficiency,255.41,E27.40,Adrenocortical insufficiency
237783006,,,97881000119105,Adrenal incidentaloma (disorder),Adrenal incidentaloma,Adrenal incidentaloma,255.9,E27.9,Incidental finding of mass in the adrenal gland
162863004,,,90411000119103,Adult BMI 27-27.9 (finding),Adult BMI 27-27.9,BMI 27-27.9 adult,V85.23,Z68.27,OVERWEIGHT WITH BODY MASS INDEX (BMI) 27.0-27.9
162863004,,,90421000119105,Adult BMI 28-28.9 (finding),Adult BMI 28-28.9,BMI 28-28.9 adult,V85.24,Z68.28,OVERWEIGHT WITH BODY MASS INDEX (BMI) 28.0-28.9
162863004,,,90431000119108,Adult BMI 29-29.9 (finding),Adult BMI 29-29.9,BMI 29-29.9 adult,V85.25,Z68.29,OVERWEIGHT WITH BODY MASS INDEX (BMI) 29.0-29.9
162864005,,,141501000119106,Adult BMI 40-44.9 (finding),Adult BMI 40-44.9,BMI 40-44.9 adult,V85.41,Z68.41,BODY MASS INDEX 40-44.9 ADULT
162864005,,,141511000119109,Adult BMI 45-49.9 (finding),Adult BMI 45-49.9,BMI 45-49.9 adult,V85.42,Z68.42,BODY MASS INDEX 45-49.9 ADULT
162864005,,,90441000119104,Adult body mass index 30-30.9 - obesity (finding),Adult body mass index 30-30.9 - obesity,BMI 30-30.9 adult,V85.30,Z68.30,OBESITY WITH BODY MASS INDEX (BMI) 30.0-30.9
162864005,,,90451000119102,Adult body mass index 31-31.9 - obesity (finding),Adult body mass index 31-31.9 - obesity,BMI 31-31.9 adult,V85.31,Z68.31,OBESITY WITH BODY MASS INDEX (BMI) 31.0-31.9
162864005,,,90461000119100,Adult body mass index 32-32.9 - obesity (finding),Adult body mass index 32-32.9 - obesity,BMI 32-32.9 adult,V85.32,Z68.32,OBESITY WITH BODY MASS INDEX (BMI) 32.0-32.9
162864005,,,90471000119106,Adult body mass index 33-33.9 - obesity (finding),Adult body mass index 33-33.9 - obesity,BMI 33-33.9 adult,V85.33,Z68.33,OBESITY WITH BODY MASS INDEX (BMI) 33.0-33.9
162864005,,,90481000119109,Adult body mass index 34-34.9 - obesity (finding),Adult body mass index 34-34.9 - obesity,BMI 34-34.9 adult,V85.34,Z68.34,OBESITY WITH BODY MASS INDEX (BMI) 34.0-34.9
162864005,,,90491000119107,Adult body mass index 35-35.9 - obesity (finding),Adult body mass index 35-35.9 - obesity,BMI 35-35.9 adult,V85.35,Z68.35,OBESITY WITH BODY MASS INDEX (BMI) 35.0-35.9
162864005,,,90501000119100,Adult body mass index 36-36.9 - obesity (finding),Adult body mass index 36-36.9 - obesity,BMI 36-36.9 adult,V85.36,Z68.36,OBESITY WITH BODY MASS INDEX (BMI) 36.0-36.9
162864005,,,90511000119102,Adult body mass index 37-37.9 - obesity (finding),Adult body mass index 37-37.9 - obesity,BMI 37-37.9 adult,V85.37,Z68.37,OBESITY WITH BODY MASS INDEX (BMI) 37.0-37.9
162864005,,,90521000119109,Adult body mass index 38-38.9 - obesity (finding),Adult body mass index 38-38.9 - obesity,BMI 38-38.9 adult,V85.38,Z68.38,OBESITY WITH BODY MASS INDEX (BMI) 38.0-38.9
,,,129588001,Adult failure to thrive syndrome (disorder),Adult failure to thrive syndrome,"Failure to thrive syndrome, adult",783.7,R62.7,"Failure to thrive syndrome, adult"
162864005,,,144271000119102,Adult obesity with BMI between 30 to 30.9 (finding),Adult obesity with BMI between 30 to 30.9,"Obesity, BMI 30-30.9, adult",278.00/V85.30,E66.9/Z68.30,"OBESITY, BODY MASS INDEX (BMI) 30-30.9"
162864005,,,144281000119104,Adult obesity with BMI between 31 to 31.9 (finding),Adult obesity with BMI between 31 to 31.9,"Obesity, BMI 31-31.9, adult",278.00/V85.31,E66.9/Z68.31,"OBESITY, BODY MASS INDEX (BMI) 31-31.9"
162864005,,,144291000119101,Adult obesity with BMI between 32 to 32.9 (finding),Adult obesity with BMI between 32 to 32.9,"Obesity, BMI 32-32.9, adult",278.00/V85.32,E66.9/Z68.32,"OBESITY, BODY MASS INDEX (BMI) 32-32.9"
162864005,,,144301000119100,Adult obesity with BMI between 33 to 33.9 (finding),Adult obesity with BMI between 33 to 33.9,"Obesity, BMI 33-33.9, adult",278.00/V85.33,E66.9/Z68.33,"OBESITY, BODY MASS INDEX (BMI) 33-33.9"
162864005,,,144311000119102,Adult obesity with BMI between 34 to 34.9 (finding),Adult obesity with BMI between 34 to 34.9,"Obesity, BMI 34-34.9, adult",278.00/V85.34,E66.9/Z68.34,"OBESITY, BODY MASS INDEX (BMI) 34-34.9"
162864005,,,144321000119109,Adult obesity with BMI between 35 to 35.9 (finding),Adult obesity with BMI between 35 to 35.9,"Obesity, BMI 35-35.9, adult",278.00/V85.35,E66.9/Z68.35,"OBESITY, BODY MASS INDEX (BMI) 35-35.9"
162864005,,,144331000119107,Adult obesity with BMI between 36 to 36.9 (finding),Adult obesity with BMI between 36 to 36.9,"Obesity, BMI 36-36.9, adult",278.00/V85.36,E66.9/Z68.36,"OBESITY, BODY MASS INDEX (BMI) 36-36.9"
162864005,,,144341000119103,Adult obesity with BMI between 37 to 37.9 (finding),Adult obesity with BMI between 37 to 37.9,"Obesity, BMI 37-37.9, adult",278.00/V85.37,E66.9/Z68.37,"OBESITY, BODY MASS INDEX (BMI) 37-37.9"
162864005,,,144351000119101,Adult obesity with BMI between 38 to 38.9 (finding),Adult obesity with BMI between 38 to 38.9,"Obesity, BMI 38-38.9, adult",278.00/V85.38,E66.9/Z68.38,"OBESITY, BODY MASS INDEX (BMI) 38-38.9"
162864005,,,144361000119104,Adult obesity with BMI between 39 to 39.9 (finding),Adult obesity with BMI between 39 to 39.9,"Obesity, BMI 39-39.9, adult",278.00/V85.39,E66.9/Z68.39,"OBESITY, BODY MASS INDEX (BMI) 39-39.9"
419916003,406137001,,207871000119100,Adult victim of emotional abuse (finding),Adult victim of emotional abuse,Adult emotional abuse,995.82,T74.31XA,Adult emotional abuse
225824003,406137001,,237451000119100,Adult victim of physical abuse (finding),Adult victim of physical abuse,Adult physical abuse,995.81,T74.11XA,Adult physical abuse
225826001,406137001,,149141000119102,Adult victim of sexual abuse (finding),Adult victim of sexual abuse,Adult sexual abuse,995.83,T74.21XA,Adult sexual abuse
,,,62014003,Adverse reaction to drug (disorder),Adverse reaction to drug,Adverse drug reaction,995.20,T50.905A,Adverse drug reaction
,,,370540009,Adverse reaction to food (disorder),Adverse reaction to food,Adverse reaction to food,995.7,T78.1XXA,Adverse reaction to food
,,,409673008,Alanine aminotransferase (ALT) (serum glutamic-pyruvic transaminase) (SGPT) level raised (finding),ALT (SGPT) level raised,Elevated ALT,790.4,R74.0,Elevated alanine aminotransferase (ALT)
